Class,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4
1,-24.22518897,87.63770852,23.06918995,53.3328763,95.35679425,-6.054633985,35.63636747,101.0297924,6.416093174,53.28394399,74.30200892,-17.1282246,15.78286502,103.9813575,22.77410471
1,60.82676859,1.097221194,-82.48159155,56.56366343,69.9011644,-66.17978616,13.24479293,78.9740637,-49.09865526,35.89804953,73.92447836,-56.24966794,76.0238525,63.60619475,-84.21328838
1,-12.96579773,71.72234367,-39.27235225,65.5009075,60.18193194,-83.94630016,68.17696922,34.57343862,-86.99158449,51.98101009,66.00831806,-72.7541281,10.35824397,75.07976638,-49.91048645
1,56.04215289,81.05634885,-42.45535488,58.94157545,79.39678876,-60.86879748,59.22011876,19.78724423,-59.58226137,65.16505263,52.66872513,-61.62067314,28.53116503,84.4995464,-44.42003825
1,62.0901013,66.61198706,-52.74584291,18.74957141,79.02468375,-48.85861068,80.33925045,44.40803235,-69.67334343,38.88614528,75.61365741,-56.11480731,65.96214396,66.56871418,-73.43101415
1,-50.01177718,61.85351394,-114.3757591,57.47776247,78.68834947,-41.41474258,63.63906663,18.72372806,-55.98228666,68.45253771,50.37555239,-59.455278,69.46856872,76.74105677,-57.98614374
1,-3.288520145,77.07695946,-55.75053398,41.41729238,83.64889537,-60.07024564,15.98235328,83.41827293,-64.28622124,-20.84898247,69.32074147,-41.6095717,30.61203402,2.658293182,1.591241894
1,46.4372477,100.1376326,-31.46641397,74.31911419,80.15696613,-56.62990296,25.6084037,100.5359635,-27.94044676,75.06141578,53.42912779,-57.00666914,5.455219686,96.49121359,-21.32827217
1,25.2908027,100.3803715,-29.96962356,74.86044765,79.27122518,-56.2981837,67.80643538,20.07962622,-57.15196997,75.77918228,52.57261064,-57.01564532,2.348082457,98.12780732,-27.40340034
1,-11.63233526,81.5519682,-28.007209,73.56432383,51.16145822,-70.50568877,86.21351275,75.01394405,-69.06835083,50.99871505,83.18564592,-56.21545229,32.29848921,91.53603964,-44.07438718
1,15.31199773,77.08108721,-52.60188602,66.659108,66.11928688,-72.74030438,40.10887442,74.54744196,-55.15538576,60.13007061,66.0792881,-54.50862537,80.08457487,44.12521503,-69.91642714
1,15.93777426,75.69313168,-52.55840514,60.15057866,65.08251104,-55.32541501,66.31345709,64.61157992,-73.87028814,38.54858787,73.05789178,-57.2870186,78.9926727,42.80252095,-71.34978053
1,72.91279834,79.54946006,-59.58642825,4.805261842,96.21229836,-23.89662605,74.58439688,52.48988509,-58.52297128,67.27399109,19.80458152,-57.40519369,22.82014049,100.6825778,-33.09264435
1,56.37319493,69.48089387,-65.73863327,75.72787341,38.26187538,-87.80869556,62.37904814,-0.272292258,-79.47767808,35.79950498,73.39386567,-55.04209577,15.18665204,77.30467437,-45.26207645
1,15.25649644,83.95769284,-38.45747028,47.98827817,7.507321519,-82.02036763,68.84774144,67.0674327,-51.04501956,40.71018356,78.27554608,-47.08998917,-10.95570592,81.8990963,-37.08583617
1,33.003011,75.8401836,-59.15905349,65.05066109,57.11652618,-85.37799549,47.56449027,64.39509574,-75.75459578,-9.761613938,72.74702223,-37.72586477,6.077146929,75.29058662,-53.53340778
1,25.21994234,100.4330665,-30.44584512,4.699487938,97.07696681,-24.04345922,72.78207324,79.83995469,-59.95538561,64.98220009,20.61217323,-60.67189331,73.82257444,52.70739005,-59.38673058
1,-18.97939649,-42.51345702,44.1180773,18.27041188,-56.76215834,65.28310403,-0.507817584,-51.84472855,56.80062611,30.56333168,23.97188905,-2.694935189,43.32206432,-57.4701638,59.80100204
1,63.77784212,-17.11175376,29.28582059,15.1684539,75.49355461,55.13064143,57.49710187,-6.898011514,68.25280014,1.322989906,82.02875653,48.0051116,-2.74452924,75.41148276,73.32856336
1,9.656743296,86.54644866,-43.35759658,-11.68221508,82.57452699,-37.40403499,68.86333367,67.45467203,-50.55258509,46.56672772,8.505040728,-83.28312715,38.75969061,79.71482619,-48.47596586
1,58.52759135,20.17591717,-60.39911083,59.82021689,80.39070244,-58.03604461,64.70637297,53.77457805,-62.03108716,32.72129502,84.23916713,-38.53130319,50.96314087,80.61965842,-46.78394368
1,37.84361086,73.88179674,-58.06103066,18.21850939,77.80206664,-50.02635173,65.70412389,64.83627645,-74.4193684,60.20686134,65.1885323,-55.60473385,77.70480025,42.60879901,-72.84360301
1,4.518843721,97.18975777,-24.24805137,74.05697722,79.67859054,-57.83284393,24.44865886,100.5005866,-30.88735643,68.6707334,19.92134303,-55.99968592,74.73781507,52.95286441,-58.49420294
1,28.21988318,85.87248501,-53.38210082,52.898034,81.95415272,-57.50244848,10.47386963,82.66894072,-45.40341307,-9.05444359,75.29732703,-35.53499878,58.76697812,56.22436965,-63.30429809
1,53.39884793,95.40313706,-6.732257087,35.68905259,101.0811642,5.493850265,-19.67354167,85.87670874,31.51342388,14.83676149,104.3259426,19.79347041,-6.209655414,97.7779522,23.00036115
1,56.4351639,69.69359635,-65.68548216,60.65116449,0.407926419,-81.68595268,12.20440741,79.07179216,-49.29111096,36.67144225,73.10660277,-54.13195156,74.38021884,39.018031,-89.48280171
1,58.6863458,71.97542416,-59.66396914,61.33767026,10.49317022,-69.06749151,33.60743722,80.90224235,-55.91996729,76.5069425,42.46313796,-73.04721153,84.46193108,67.59471266,-74.29431802
1,-21.74415142,32.65414444,67.53828818,35.69249396,-54.00732743,43.12999264,-28.1324897,44.03348964,28.84652277,33.96066492,-53.75378001,68.78594225,19.93304585,-49.70878326,50.12983184
1,8.292571416,73.75644298,-47.92785389,29.10041134,76.93344478,-49.97777824,53.16255892,70.18049758,-51.63766904,53.22922414,76.87396583,-73.19091775,58.1603042,50.51475725,-70.73271958
1,62.53032003,-29.85831552,-52.87176774,15.26798457,32.16391458,-74.05348009,-27.77603897,30.88753335,-57.20760998,56.5729832,28.91849571,-76.76640053,-3.913736009,34.27887915,-68.61874319
1,68.51022494,31.11263812,-87.04602866,9.181948436,75.11510862,-52.78256225,64.41249237,57.15186221,-85.60581246,32.7212128,75.69975878,-60.1054622,50.62783461,63.8656604,-74.24996021
1,72.43641931,38.58597234,-84.26581271,30.33166048,78.21205749,-55.69000939,59.39729711,0.51064981,-80.74029555,50.07785543,69.28110985,-71.22670915,-10.20612585,69.79077268,-35.92971081
1,36.20433903,75.55208783,-58.3149506,67.9200777,56.9416998,-83.849282,52.35378566,64.17992086,-73.03000841,71.31084985,30.87124293,-85.59060361,11.6351972,75.18680188,-51.2959875
1,38.64282231,75.07928393,-55.22213715,65.40699455,66.98985229,-72.97975415,15.30376464,77.62620789,-51.21283517,62.97986505,67.43546483,-50.61194547,81.25535427,45.39627805,-68.28028339
1,53.68752956,21.9304958,-62.95804805,56.29991764,53.59613704,-70.43560904,30.42235912,79.538761,-43.83569364,9.316843884,77.0059425,-42.77502721,53.49205919,80.97426892,-69.7791342
1,47.65439886,99.08341825,-30.87745204,4.503442164,96.24317087,-24.19450595,74.03431551,52.60180808,-59.48131461,72.26455198,79.30941139,-60.60646341,66.88811271,19.83192217,-57.96456385
1,69.17890157,67.52659547,-49.71907354,41.10591447,78.29836297,-46.08764707,49.02611102,7.811005276,-81.07823732,45.3200347,47.81904416,-96.24882475,-11.05820556,81.19786386,-36.85413
1,10.64696173,82.70179931,-43.80316053,-12.45938183,78.78050235,-41.25738182,58.76253992,56.58248982,-62.95835055,52.08290539,82.63724526,-58.01692955,29.23013552,85.30510624,-50.69698258
1,67.65941594,20.40176127,-57.4939198,75.16200894,79.68241674,-55.74321281,76.85092996,52.29387803,-55.18475353,6.824555617,96.44618648,-20.01915895,49.15983189,97.95213854,-27.61319701
1,55.27128492,-13.21069221,68.09796856,56.41571667,-18.20128023,2.852640762,-4.292304056,73.3495862,53.12825756,12.38003399,69.01953641,61.25943778,-4.474939835,69.19508839,78.82157496
1,9.801802382,75.80801006,-44.53639594,28.82019585,77.98669331,-47.71447997,52.64718436,20.04860467,-64.20174174,54.82210969,51.60384582,-73.01493288,54.55905369,79.43800438,-70.34511907
1,45.91953421,100.6328356,-31.21585796,75.33246508,80.42937638,-54.48391583,68.18653372,21.18231902,-56.12085442,27.04510523,100.364178,-25.41297543,5.891426447,96.83134973,-20.73677185
1,-15.31692876,83.64293469,-40.4244046,38.51016361,79.4988797,-48.24855849,68.1263931,67.89407359,-51.19847826,12.30323768,84.91015738,-40.1745537,46.53334972,8.607874758,-83.1907418
1,-8.07720978,72.71781503,-37.45401662,67.04260934,31.22304146,-87.42779008,33.62461146,75.12860702,-59.72871022,70.24568003,57.5491982,-85.80460561,49.81434804,64.38467666,-74.82002073
1,10.62774541,75.01722319,-51.06716609,67.64921424,32.10300039,-86.88788541,70.05466598,58.34584687,-85.49018216,33.45581223,76.08196894,-58.78248268,-13.80778635,73.85131315,-39.95386528
1,14.71890167,83.63573116,-37.90977379,69.64102914,67.86611507,-48.61830204,48.24792119,9.108243638,-82.3122798,-10.53215187,81.52081667,-36.35919451,41.51526922,78.81669345,-44.14756032
1,60.72746135,10.64093324,-69.71456148,33.40244056,81.09124323,-55.86136541,84.38272183,67.76351089,-74.03110972,60.00376171,72.34516653,-58.38302277,76.18536292,42.51558736,-73.18315558
1,51.70151197,65.0096697,-73.09926621,67.29195971,58.0396607,-83.473086,-9.745717131,73.61189228,-37.81965402,36.31921456,76.30368975,-57.33547375,68.17080906,32.25173119,-86.85497759
1,73.60874339,79.62966036,-58.66047713,73.95302804,53.11097806,-59.49752533,5.763339416,96.90680849,-22.23035304,23.84256149,101.162963,-31.50356005,65.69155455,20.50636843,-59.99691236
1,74.5262508,53.30630715,-57.9452377,73.53938357,80.0855557,-57.98018634,45.66485585,100.0204279,-32.92803723,66.20541193,20.7069715,-58.74872184,24.45866281,100.7721277,-29.485824
1,68.68614439,32.53091513,-86.53265444,52.7118008,65.06176657,-72.19998818,66.98455413,58.1754213,-83.53755387,-9.558225995,73.2935856,-37.46227101,35.67808442,76.33403303,-57.43648452
1,59.1458029,53.24820575,-68.41969166,52.57787414,20.6635779,-63.84447501,29.20407818,79.01061383,-47.52390005,55.52799115,72.62935198,-47.58341449,15.25076295,78.12696129,-37.9565512
1,83.48142051,35.0441131,-58.36496217,75.44598713,56.37149659,-57.56987376,77.17158282,-0.110591144,-60.17872276,10.81377461,72.24827358,-67.01549183,-9.966587543,59.85139087,-58.08263758
1,17.47978783,82.77796545,-38.00255005,80.183183,52.7719821,-63.05799735,37.11830496,80.70916714,-47.46480938,60.52607338,72.76217326,-45.71708359,66.60827316,74.85057622,-63.91682283
1,86.807906,69.89594547,-74.27152923,53.7910509,81.72936927,-57.71848943,74.52138162,46.30207142,-73.91441087,32.48173466,89.97214905,-47.71896264,58.73734359,16.2407536,-70.21450023
1,59.9932434,56.35824151,-62.11314859,53.74450916,82.36127946,-56.68640026,12.01571707,82.72793845,-43.21108088,-10.87878339,78.79717833,-40.44246855,30.00884043,86.01911344,-51.05880603
1,82.2319405,37.67755842,-49.94763073,71.0194387,61.66340056,-54.18867527,-6.685344698,79.82095403,-26.02348038,60.80635434,9.241232075,-70.7282048,11.5443914,86.69913282,-23.19037195
1,-10.13103247,72.69361987,-38.17871516,69.70026141,30.77520711,-86.53844771,33.77111516,75.27488603,-59.1666493,52.54347156,63.62458328,-73.54206609,63.97388161,56.93207765,-86.2470854
1,3.881273978,97.60506612,-24.76974153,64.65503889,21.10761933,-61.35960825,47.42820748,98.56753743,-30.34678292,22.83825005,101.2588971,-32.67715272,71.5840424,80.6110523,-61.14727727
1,55.56840243,70.65659903,-67.40538133,14.52574858,78.56463597,-47.2152478,35.47625371,74.19299616,-56.03584507,62.14987556,0.154925399,-80.41528814,78.10687043,37.74293059,-85.48503927
1,59.25147699,79.63453603,-60.40709712,56.37976696,81.28714477,-42.05337194,59.48307942,20.04430299,-59.38437379,29.09198368,84.75630861,-43.66232527,64.64283775,52.6956745,-61.90277186
1,52.02827374,75.07598989,-18.33142897,52.605306,95.61717646,-5.216994101,35.93376988,100.7887106,9.473399054,13.88113464,103.8901587,21.56909888,-4.920770031,96.30579842,28.59211717
